nomeFantasia,previsao_risco
Mr. Lawrence Williams,0
Katie Leach-Barnes,0
Darren Morris-Turner,0
Sam Pickering,0
Dr. Malcolm Young,0
Carly Hamilton,0
Joe Rowe-Jennings,1
Rosie Andrews-Richards,0
Alex May,0
Yvonne Green,0
Dr. Bernard Taylor,0
Mr. Denis Green,0
Mr. Terence Reynolds,0
Jack Ellis-Hawkins,1
Carolyn Sutton-Morris,0
Lindsey Robinson,0
Iain Smith-Gardiner,0
Ms. Elizabeth Hicks,1
Aaron Sheppard-Martin,1
Dr. Lauren Kelly,0
Gerald Carter,0
Dr. Robert Smith,0
Mrs. Shirley Davies,0
Victor McLean,0
Jack Bowen-Ford,0
Denis Moore,0
Clifford Price,0
Joan Todd,0
Mrs. Shannon Wilkinson,0
Laura Shaw-Turner,0
Geraldine Bibi,1
Antony Mitchell,1
Callum Smith,1
Stephen Kelly,0
Karen Reynolds,0
Charles Jones,0
Shane Sullivan,0
Mrs. Patricia Haynes,0
Diana Lewis,0
Mr. Howard Chapman,0
Dr. Lindsey Evans,0
Ms. Zoe Ryan,0
Mr. Jamie Palmer,0
Jack Bowen-Ford,0
Mathew Gibson,1
Dr. Duncan Hudson,0
Vincent Wright,0
Ms. Laura Jones,0
Vanessa Shah-Price,1
Sean Ali,1
Dr. Josephine Scott,0
Danny Bell,0
Henry Williams,0
Ryan Andrews-Turner,1
Victoria Birch,1
Ryan Andrews-Turner,1
Ryan Andrews-Turner,1
Ben Hewitt,0
Michelle Bailey,1
Bradley Weston,0
Kenneth Thomas,1
Mrs. Anne Morris,0
Reece Kelly,1
Clifford Allan,0
Mandy Gordon,0
Oliver Davis,0
Abdul Wood,0
Miss Sandra Green,0
Terence Kirby,1
Sian Campbell,0
Dr. Pauline Stewart,0
Georgia Horton-Freeman,1
Louis Hunter,0
Leslie Horton,0
Andrea Todd,0
Julie Welch,0
Anna Perkins,0
Jane Williams,1
Alison Stone,0
Miss Jodie Gordon,0
Charlie Hayes-Hancock,0
Linda Bradley,0
Leah Fitzgerald,0
Brandon Davies,0
Cheryl Kirk,1
Carl Cox,1
Guy Mitchell-Barton,0
Dr. Josephine Scott,0
Dr. Justin Robertson,0
Mr. Terence Johnson,0
Dr. Bruce Gould,0
Cheryl Kent,0
Matthew Gordon,1
Chelsea Smith-Cox,0
Mr. John Wright,0
Mrs. Frances Buckley,1
Gavin Coleman,0
Dr. Donna Price,0
Mr. Brandon Davies,0
Denise Parker,1
Ms. Lynn Thomas,1
Mr. Ricky Williams,0
Paula Jackson-Kent,0
Dr. Jennifer Hutchinson,0
Matthew Gordon,0
Katherine Morgan,1
Neil Gallagher,0
Neil Gallagher,1
Stewart Fisher,1
Mrs. Sally Walker,1
Albert Jones-Conway,1
Mrs. Olivia Jones,1
Terence O'Connor,1
Mrs. Olivia Jones,1
Janet Owen,1
Francis Andrews,1
Janet Owen,1
Chelsea Smith-Cox,0
Scott Lewis,0
Grace Robinson-Pollard,0
Alex Day,0
Samuel Evans-Williams,0
Janet Owen,0
Mr. Jamie Palmer,0
Mr. Leon Smith,0
Dr. Stephen Field,0
Jeffrey Marshall,1
Leanne Smith,0
Vanessa Davidson-Humphries,1
Sheila Webb,0
Roy Williams-Jones,0
Marilyn Holden,0
Mrs. Beverley Khan,0
Victoria Harper,1
Mrs. Dawn Kay,0
Kerry Bowen,0
Ms. Marilyn Macdonald,0
Connor Barker-Taylor,0
Melissa Woods,1
Dr. Keith Stone,0
Diana Davis-Graham,0
Jamie Edwards,0
Stanley Webster,0
Marian Mitchell,0
Mrs. Rachel Benson,0
Katie Bevan,0
Dr. Barry Carpenter,0
Gail Smith,1
Benjamin Norton,0
Mrs. Anne Morris,0
Janice Davis,0
Pamela Owens-Moran,1
Dr. Karl Mitchell,0
Pamela Wright,1
Miss Lydia Morris,0
Jade Thomas,0
Mrs. Kathleen Taylor,0
Dean Price,1
Raymond Patel,0
Jake Nicholls,0
Mr. Wayne Holloway,1
Miss Suzanne Russell,1
Arthur Thompson,0
Kenneth Thomson,0
Terence Nicholls,0
Robin Howe-Quinn,1
Joan Todd,1
Kenneth Thomson,0
Joanna Hall,0
Joanna Hall,0
Mathew Davies,0
Dr. Connor Hancock,0
Joan Todd,0
Geraldine Ward,0
Bruce Morgan,0
Miss Alexandra Graham,0
Tony Cooper-Clarke,0
Robin Howe-Quinn,0
Dr. Beverley Hayward,0
Carolyn Sutton-Morris,0
Harriet Kirk,0
Chelsea Kay-Sinclair,0
Ms. Nicola Coates,0
Brenda Allen,0
Dr. Sophie Green,0
Katherine Winter-Simpson,0
Vanessa Shah-Price,0
Rebecca Freeman,0
William Hart,1
Martyn Patel,0
Lisa Abbott-Oliver,0
Hilary Davis,1
William Hart,0
Hilary Davis,0
Brian Morgan,1
Miss Kerry Kirk,0
Holly Collins,1
Pamela O'Connor-Elliott,0
Mohammed Davies,0
Dr. Alan Hughes,1
Carole Davis,0
Benjamin Clark-Webb,0
Carole Pickering,0
Max Atkinson,0
Brian Morgan,1
Carolyn Hunter,0
Pamela Wright,1
Suzanne Barlow,0
Ms. Debra Leach,0
Callum Smith,1
Dr. Mohammed Peters,0
Henry Bailey-Taylor,0
Simon Begum-Ward,0
Ms. Francesca Coates,0
Mrs. Leah Mills,1
Miss Carolyn Smith,0
Mr. Kieran Collins,0
Brian Benson-Brown,1
Ashleigh Byrne-Bradley,0
Jasmine Ashton-Daniels,0
Joe Rowe-Jennings,1
Dr. Bruce Ellis,0
Dr. Alan Hughes,1
Nathan Jones,0
Pamela O'Connor-Elliott,0
Mrs. Michelle Stephens,1
Miss Nicole Baldwin,1
Nathan Jones,0
Tracey Owen,1
Aaron Sheppard-Martin,1
Gary Duffy,0
Miss Katy Marsden,0
Katie Bailey,1
Mrs. Molly Barlow,0
Donald Abbott,0
Nathan Jones,1
Dr. Francesca Jones,0
Dennis Pritchard,0
Leanne Perry,0
Barbara Allen,0
Tracey Owen,1
Rebecca Bryant,0
Dr. Kieran Morris,1
Michael Young,0
Andrea Holmes,0
Dr. Janice Moss,0
Sylvia Andrews,0
Shannon Moore,1
Beverley Quinn,1
Maureen Roberts,1
Patricia Williams,0
Ms. Lisa Morgan,1
Joe Knight,0
Miss Yvonne Peters,0
Mrs. Jean Hartley,0
Sylvia Morris,1
Shannon Thomas,0
Nigel Smith,0
Ms. Carolyn Scott,0
Joe Rowe-Jennings,1
Lynn Wood,1
Frances Harris,0
Katie Kelly,0
Mohammad Williams,0
Dr. Ricky Fisher,0
Mr. Bryan Johnson,0
Ms. Jemma Roberts,0
Oliver Ali,0
Judith Roberts,0
Katherine Clarke,0
Andrew Clarke,0
Toby Foster,0
Mr. Marc Bevan,1
Kim Randall,1
Alexander Miles,0
Dr. Diane Bird,1
Naomi Bates-Thomas,0
Ricky Fraser,1
Paul Fuller-Patel,0
Mr. Joshua Bell,0
Lynn Wood,0
Mark Martin,0
Neil Dale,0
Dr. Frederick Wright,1
Rebecca Ward,0
Dr. Teresa Hope,0
Anne Payne,0
Katherine Shaw-Sanderson,0
Jake Roberts-Dale,0
Charlene Jones,0
Anne Payne,0
Dale Lowe,0
Dale Lowe,0
Ms. Melanie Finch,0
Mrs. Rebecca Sullivan,0
Ms. Lynne Barton,0
Patrick Cross,0
Dr. Alison Little,0
Claire Read,0
Donna Taylor-Field,0
Matthew Carter-Smith,0
Beverley Watson,1
Shannon Moore,1
Mr. Dylan Scott,0
Dale Lowe,1
Dr. Jeremy Thomas,1
Carolyn Hodgson-Stephenson,0
Miss Kimberley Frost,1
Lewis Collins,0
Martin Hall,0
Katherine Clarke,0
Mrs. Tina Gibson,0
Miss Joan Wood,1
Abdul Hamilton,0
Dr. Jeremy Thomas,0
Dr. Phillip Begum,0
Louis Stevens,0
Daniel George-Morgan,0
Frank Wilson,1
Jemma Hawkins,1
Nigel Ahmed,0
Miss Kimberley Frost,1
Ms. Geraldine Willis,0
Dr. Roger Hodgson,1
Dr. Marian Smith,0
Allan Stokes,0
Denise Clark,0
Mrs. Jill Quinn,0
Francesca Clements,0
Mr. Wayne Riley,0
Diana Watson,0
Gerard Gordon,0
Dylan Fox,0
Stewart Pritchard-Young,0
John Ingram-Miller,1
Mr. Glenn Kent,0
Fiona Burton,0
Mr. Stephen Mitchell,0
Mary Harrison,1
Diane Mellor,0
Bethany Byrne,0
Miss Rosemary Booth,1
Dr. Stewart Waters,0
Mandy Stewart,1
Wayne Heath-Bryant,0
Oliver Ali,0
Mathew Watson,0
Mr. Jack Marshall,0
Hugh Brooks-Carter,0
Justin Kay,0
Ronald Wood,0
Gemma Robinson,0
Paige Turner,0
Mr. Ryan Smith,0
Linda Baxter,0
Sandra Campbell,0
Dr. Linda King,0
Michael Miller,0
Julian Brown,0
Dr. Leon Thomas,0
Linda Cook,0
Jack Hall,0
Mr. Toby Fuller,0
Stacey Holden,0
Dennis Birch,0
Katy Page,0
Steven Kennedy-Jones,0
Paula Bennett,0
Frank Wilson,1
Billy Bolton,1
Gemma Watts,0
Ms. Jennifer Mann,0
Tom Robinson,0
Antony Wells,0
Carolyn Sutton-Morris,0
Miss Janice Wells,0
Toby Coleman,0
Charlie Knight,0
Dr. Sarah Turner,0
Gillian Mason,0
Dr. Matthew Wright,0
Paige Matthews,0
Tracey Owen,1
Linda Cook,0
Gemma Roberts,0
Nicola Evans,0
Shane Gardner,0
Miss Donna Smith,0
Mrs. Hollie Clark,0
Dr. Marian Horton,0
Gordon Richards,0
Gregory Shaw,0
Dr. Clive White,0
Patrick Cross,0
Mark Brown,0
Lynn Roberts,0
Jennifer Nicholson-Hart,1
Ms. Carol Stevenson,0
Dr. Damian Smith,0
Lynne Kelly,0
Nicholas Talbot-Leonard,0
Russell Robertson-Clark,0
Lawrence Knight-Sims,0
Danny Miller,0
Dr. Hugh Begum,0
Sheila Jones-Blake,0
Linda Cook,0
Wayne Heath-Bryant,0
Dr. Jeremy Cooke,1
Pamela Wright,1
Katherine O'Brien,1
Caroline Wilkins,0
Diane Moore,1
Dr. Sarah Turner,0
Jayne Bentley,0
Katy Carter-Benson,1
Janet Ross-Brown,0
Katy Reynolds,0
Katy Carter-Benson,0
Debra Jarvis,0
Ms. Aimee Marshall,0
Alan Foster,1
Alan Foster,0
Clare Barker-Parker,1
Alan Foster,0
Billy Davies-Shaw,0
Sean Green-Read,0
Stewart Thomas,0
Ms. Leanne Harrison,0
Antony Mitchell,0
Dr. Rebecca Marsh,0
Mrs. Leanne Henderson,0
Alison Bibi-Singh,0
Bradley Lees,0
Adrian Graham,1
Dr. Lewis Wilkinson,0
Brian Bennett-Ryan,1
Patrick Perry,0
Kevin O'Donnell,1
Kevin O'Donnell,1
Adrian Graham,1
Dr. Kenneth McDonald,0
Dr. Lynn Lewis,0
Trevor Harrison,1
Beth Williams,0
Dr. Jamie Taylor,0
Mrs. Debra Holloway,0
Miss Diane Hunt,0
Charles Hughes,0
Dr. Caroline Ali,1
Douglas Francis,0
Margaret Jones,0
Miss Nicola Smith,0
Gerard Marshall-Clarke,1
Nicola Vaughan,0
Gregory Gould,0
Mrs. Kirsty Collins,1
Iain Brown-Taylor,1
Mr. Garry Green,1
Laura Shaw-Turner,1
Mr. Brandon Davies,0
Terence Dean-Thompson,0
Gail Brookes,0
Mandy Farrell,1
Maria Dyer,0
Toby Coleman,0
Mr. Sean Perkins,0
Christian Adams,0
Lucy Rahman,0
Irene Hayes,0
Ashley Manning,0
Mr. Robin Patel,0
Mrs. Hayley Burrows,1
Louis Lowe,1
Ms. Heather Jones,0
Margaret White,0
Jessica Lawrence,0
Joan Tomlinson,0
Vincent Wright,0
Dr. Hilary Abbott,0
Chelsea Green,0
Dr. Caroline Ali,0
Leigh Stone,0
Joyce Green-Davies,0
Mandy Stewart,1
Mandy Stewart,0
Bryan Todd,1
Sam Green,0
Mandy Blake,0
Marian Day,0
Jacob Naylor,0
Danielle Jones-Wilkins,0
Wayne Morrison,0
Rachael White,0
Rachael White,0
Rachael White,0
Paul Fuller-Patel,0
Ms. Pauline Sinclair,1
Rachael Daniels,0
Sally Young,1
Mrs. Sarah Murphy,0
Ms. Sian Moore,1
Marion Walsh,0
Abbie Welch,0
Mr. Henry Ali,1
Dr. Connor Hancock,0
Natasha Holland,0
Leslie Howard,0
Dr. Brandon Hawkins,0
Lauren Wilkinson,1
Dr. Judith Woods,0
Leslie Horton,0
Dr. Jake Cooper,1
Janet Parkinson,1
Edward Griffiths-Naylor,0
Mrs. Rebecca Sullivan,0
Stephen Kelly,0
Dr. Joshua Riley,1
Dr. Joshua Riley,0
Martin Price,0
Roger Blake,0
Chelsea Singh,0
Charles Jones-Roberts,1
Kathleen Wallis,0
Kyle Dixon,1
Billy Barrett,1
Leslie Horton,0
Simon Williams,0
Christine Smith,1
Mr. Iain Sykes,0
Vincent Stephenson,0
Mrs. Kathryn Thomas,0
Elizabeth Harrison-Davis,0
Bruce Newman,0
Mr. Ricky Williams,0
Mr. Derek Hill,0
James Watts,0
Dr. Joshua Riley,0
Linda Bradley,0
Mr. Joseph Robinson,0
Katy White,0
Linda Bradley,0
Frances Doyle,0
Eleanor Roberts,0
Ben Hewitt,0
Jessica Hamilton,0
Sean Ali,0
Mr. George Jenkins,0
Dr. Peter Bryan,0
Fiona Birch-Jackson,0
Sophie Davies-Weston,0
Henry Carr,0
Jeremy Davies,0
Kieran Long,0
David Kelly,1
Dr. Iain Kelly,0
Roger Edwards,0
Luke Mitchell-Bates,0
Charles Cox,1
Charles Cox,0
Leslie Horton,0
Charlie Owen,1
Jay Russell,1
Sophie Davies-Weston,0
Susan Payne,0
Dylan Fox,0
Yvonne Green,0
Miss Mandy Richardson,0
Dr. Anthony Price,0
Dr. Jeffrey Griffiths,1
Maria Warren,0
Jayne Bentley,0
Mr. Vincent Ellis,0
Dean Ashton-Williams,0
Mr. Josh Sharp,0
Ms. Jemma Roberts,0
Rachel Stokes,1
Charlie Owen,0
Amber Yates,0
Brian Lyons,0
Stacey Hamilton,0
Patricia Kennedy,1
Carole Arnold,0
Paige Robinson,0
Aimee Marshall,0
George Smith,0
Amber Yates,0
Dr. Sally Armstrong,0
Susan Bates,0
Mary Richards,1
Lisa Holmes,0
Dr. Josephine Scott,0
Mr. David Kemp,0
Charles Harvey,0
Mrs. Anne Morris,1
Miss Charlotte Jones,1
Mark Martin,0
Ms. Eileen Foster,1
Miss Frances Bull,1
Dylan Fox,0
Hayley Stevenson,1
Josephine Webb,0
Dr. Pauline Giles,0
Eleanor Wilson,1
Ms. Eileen Foster,0
Dr. Clare May,0
Miss Nicole Baldwin,1
Susan Bates,0
Mr. Kevin Smith,0
Derek Hopkins,0
Donna Wood,0
Jean Garner,0
Mitchell Robinson,0
Yvonne Thornton,0
Jenna Jennings,0
Dr. David Rees,0
Ellie Payne,0
Miss Ellie Kelly,0
Ashleigh Byrne-Bradley,0
Gary Cox,1
Dr. Jeffrey Giles,1
Dr. Elaine James,0
Jeffrey Knight,1
Judith Davies,0
Lawrence Bartlett,0
John Ingram-Miller,1
Jordan Stevens,0
Dr. Malcolm Young,1
Dr. Malcolm Young,0
Charles Lord,0
Amy Chandler,0
Jeffrey Knight,0
Brandon Davies,0
Mr. Tony Kelly,1
Mr. Brian James,0
Dr. Clive Taylor,0
Dr. Guy Gallagher,0
Jeremy Farmer-Yates,0
Mr. Oliver Lamb,0
Dr. Simon Rees,0
Jeffrey Knight,0
Dennis West,1
Dr. Henry Smart,0
Josh Bryan-Wilson,0
Linda Bradley,0
Hollie Oliver-Davidson,1
Mr. Brian James,0
Andrea Cooper-Elliott,1
Elliott Morris,0
Donald Morgan,0
Nathan Jones,0
Ms. Suzanne Smith,0
Clifford Allan,0
Miss Shirley Noble,1
Sarah Singh,0
Aimee Edwards-Miles,0
Roger Wilson,0
Toby Richards,0
Dr. Jeffrey Giles,1
Mrs. Geraldine Gray,0
Danielle Murray-Bell,0
Mr. Shaun Gough,0
Beth Ellis,1
Ms. Suzanne Smith,0
Leslie Rhodes-Smith,1
Andrea Butler,0
Mr. Jason Harding,0
Dr. Sean Warner,0
Thomas Marsh,0
Deborah Jones-Gibson,0
Pauline Todd,1
Georgia Horton-Freeman,1
Maria Johnson-Lewis,0
Toby Wright,1
Mrs. Ellie Thornton,0
Dr. Frederick Wright,1
Peter Sutton,0
Maria Brown,0
Dale Smith,0
Glen Lynch,1
Mr. Brandon Davies,0
Mr. Wayne Moore,0
Joseph Lee,0
Robert Hall,0
Dr. Christian Lamb,0
Victoria Harper,0
Olivia Gibbons,0
Judith Adams,0
Dr. Robin Newton,1
Josh Bryan-Wilson,0
Kathryn Stanley,1
Mr. Raymond Moore,1
Dale Smith,0
Luke Collier,0
Dr. Kathryn McDonald,0
Dr. Simon Rees,0
Ms. Jemma Roberts,0
Ms. Melanie Finch,0
Denise Shaw-Jordan,1
Mary Richards,1
Charlie Hayes-Hancock,0
Patricia Parker,0
Phillip Rees,1
Denis Moore,1
Nicola Harris-Clarke,0
Tracey Harrison,0
Lindsey Goodwin,0
Adam Hill,1
Miss Lydia Morris,0
Paige Dawson,0
Abdul Wood,0
Ms. Melanie Finch,0
Lucy Whitehead,0
Dawn Phillips,0
Mr. Josh Sharp,0
Charles Jones-Roberts,1
Keith Bailey,0
Mrs. Geraldine Gray,0
Carl Begum,0
Samuel Cross,0
Brenda Davis,0
Hugh Turner,0
Martin Price-Collins,0
Gerard Walker,0
Ms. Rachel Morley,0
Brenda Allen,0
Brenda Powell,1
Mr. Robin Smith,0
Ms. Marie Jones,0
Mr. Ronald Brown,0
Neil Gallagher,0
Dylan Robinson-Nolan,0
Annette Perkins,1
Catherine Evans,1
Jemma Black,0
Ms. Gemma Edwards,0
Dr. Ellie Davey,0
Joanne Adams,0
Dr. Ricky Fisher,0
Dr. Diane Bird,1
Fiona Wade,1
Alex Day,0
Lorraine Hughes,0
Mr. Richard Andrews,1
Miss Paige Burrows,1
Ian Baker,0
Tina Day,0
Hilary Mitchell-Allen,0
Dr. Abdul Cross,0
Mr. Kenneth Woodward,0
Reece Harris-Patel,1
Dr. Vanessa Patel,1
Carole Wood,1
Marian Day,0
Christine Palmer-Moss,0
Aimee Cooper,0
Hilary Mitchell-Allen,0
Claire Gregory,0
Gavin Coleman,0
Charles Hughes,0
Gavin Coleman,0
Dawn Phillips,0
Mr. Bernard Cooper,0
Mr. Nigel Kelly,0
Anna Khan,0
Leah Fitzgerald,0
Mr. Vincent West,0
Miss Paige Burrows,0
Stephanie Fleming-Bibi,0
Mr. Robert Hughes,0
Mrs. Caroline Wheeler,0
Rachael Bradshaw,0
Miss Alice Byrne,0
Dr. Joanna Parsons,1
Mr. Carl Barker,0
Charlene Read,0
Kathleen Wallis,0
William Miller,0
Philip Short,0
Ms. Heather Jones,0
Marian Day,0
Dr. Brandon Evans,0
Dr. Bernard Taylor,0
Joel Flynn,1
Reece Harris-Patel,0
Joanne Johnson,1
Danielle Sharp,1
Marc Booth,0
Roy Parkin,0
Dr. Geraldine Ali,0
Mitchell Connolly,0
Mohammed Davies,1
Christopher Morris,0
Robert Hall,0
Robert Hall,0
Tony Kemp-Hurst,1
Heather Sanders,0
Mr. Norman Stokes,0
Reece James,0
Mohammed Davies,0
Raymond Parker,1
Mrs. Marion Cartwright,0
Joel Flynn,0
Mrs. Anne Morris,0
Dr. Mohamed Phillips,0
Joe Knight,0
Mrs. Susan Barker,0
Dr. Mohamed Phillips,1
Jeremy Wright,1
John Holmes,0
Gregory Bibi,0
Georgia Booth,1
Jade Williams,1
Yvonne Gregory,1
William Hart,0
Rachael Bradshaw,0
Yvonne Gregory,1
Ben Russell,0
Victor Davidson,1
Miss Frances Bull,1
Yvonne Gregory,1
Mr. Alan Sutton,1
Frank Marsden,0
Terence Barton,0
Janet Parkinson,1
Jade Newton,0
Victor Davidson,0
Michael Vaughan,0
Alexandra Williams,0
Jayne Bentley,0
Nicola Hall,0
Julie King,0
Adrian Brown,0
Ryan Andrews-Turner,1
Charlene Clarke,1
Shaun Walters-Hall,1
Jay Hurst,1
Brandon Davies,0
Darren Taylor-Allan,0
Miss Donna Smith,0
Miss Frances Bull,1
Ricky Dobson,0
Margaret Khan,0
Kenneth Thomson,0
Alexandra Fraser,0
Simon Holden,0
Mrs. Valerie Edwards,0
Brian Gregory,0
Jay Hurst,0
Mrs. Margaret Nelson,1
Dr. Adrian Carr,0
Luke Collier,0
Marilyn Murphy,0
Miss Janice Wells,0
Cheryl McDonald,1
Nicola Hall,0
Mary Rose,0
Maureen Coleman,1
Ms. Kate Forster,0
Aimee Crawford,0
Francis Morris,0
Robert Jones,1
Dylan Fox,0
Robert Jones,0
Josephine Nicholson-Kennedy,0
Clare Patel,1
Mandy Shaw,0
Douglas Murphy,0
Miss Katy Marsden,0
Ellie Davies-Skinner,0
Tom Coleman,0
Ms. Carol Stevenson,0
Denis Johnson,0
Karen Reynolds,0
Colin Butcher,0
Ms. Jodie Ward,0
Miss Lorraine Alexander,0
Donald Bruce,0
Gillian Clarke,0
Samuel Williams-Dawson,0
Ms. Elaine Pearce,0
Jade Wilson,0
Tracy Andrews,0
Kathryn Power-Mason,0
Dr. Jeffrey Giles,1
Ms. Hayley Ellis,0
Martin Wilson,0
Carol Fletcher,1
Lauren Lambert,0
Dr. Wayne Hooper,0
Alex Bailey,0
Deborah Mason,0
Teresa Clark,1
Mr. Ricky Williams,0
Dr. Reece Hudson,0
Mr. Ricky Williams,1
Dr. Mitchell Walton,0
Nicole Palmer,0
Ms. Donna Smith,0
Dr. Conor Stokes,0
Ann Taylor,0
Dr. Alison Gray,1
Dr. Malcolm Elliott,0
Russell Grant-Taylor,0
Ms. Ann Allen,1
Daniel Davies-Jones,0
Alex Bailey,0
Mr. Tony Walker,0
Dale Knight,0
Dr. Matthew Wright,0
Beverley Price,0
Barbara Holmes,0
Gavin Singh,1
Mr. Ricky Williams,0
Marian Warren,0
Mark Martin,0
Alex Bailey,0
Clifford Allan,0
Leon Woodward,0
Tina Day-Walker,1
Dr. Jonathan Akhtar,0
Steven Kennedy-Jones,0
Sian Simpson,0
Alexander Ashton,1
Mrs. Chloe Tucker,0
Gerard Hudson,0
Victor Townsend,0
Victoria Harper,1
Alex Clark,0
Tina Day-Walker,1
Gerald Jones-Wilson,0
Kerry Pritchard-Hussain,0
Miss Frances Bull,1
Mr. Brett Kelly,0
Nathan Jones,0
Gerald Jones-Wilson,0
Lorraine Hughes,0
Ellie Curtis-Lewis,1
Gail Pope,1
Joan Smith,0
Mrs. Angela Frost,1
Raymond Porter,0
Reece Heath,0
Sian Simpson,0
Danny Miller,0
Gordon Cunningham-Clark,0
Sarah Williams,0
Dr. Simon Howard,1
Dr. Simon Howard,1
Trevor Harrison,1
Elaine Bray-Chapman,0
Alison Davidson,0
Jade Singh-Price,0
Caroline Hale,0
William Thomas,0
Dr. Alexandra Hart,0
Richard Ali,0
Henry Williams,0
Victor Brown-James,0
Chloe Chapman,1
Guy Griffin,0
Dr. Antony Holden,1
Dr. Antony Holden,0
Ms. Pauline Sinclair,1
Dr. Andrew Atkinson,1
Ruth Wilson,0
Charlie Hughes,1
Ms. Lydia Foster,0
Natasha Powell,0
Diane Savage,1
Dr. Arthur Curtis,0
Marion Walsh,0
Josh Bryan-Wilson,0
Jay Russell,1
Dr. David Rees,0
Elaine Hawkins,1
Elaine Hawkins,1
Jenna King,0
Miss Charlotte Williams,0
Nigel Watkins,0
Chloe Mellor-Phillips,0
Jill Andrews-Greenwood,0
Dr. Luke Marsh,1
Andrew Rhodes,1
Sandra James,0
Hilary Davis,0
Alison Davidson,0
Justin Morris-Collins,1
Brett Young-Marshall,1
Mr. Allan Andrews,1
Ms. Donna Smith,1
Mr. Charles Thomas,0
Graeme Storey,0
Ms. Donna Smith,1
Ms. Donna Smith,1
Ms. Donna Smith,1
Dr. Bernard Holland,0
Hilary Davis,1
Hilary Davis,0
Brett Young-Marshall,1
Ms. Donna Smith,0
Susan Carr,1
Dr. Bernard Holland,0
Douglas Williams,0
Andrew Rhodes,0
Dale Scott,0
Sophie Powell,0
Ms. Gail Hill,0
Nathan Jones,0
Shaun Fuller,1
Brian Morgan,1
Paige Clark,1
Judith Fowler,0
Sian Gibson-Harding,1
Karen Sinclair-Grant,0
Colin Evans,0
Graeme Turnbull,0
Lawrence Hill,0
Amber Hilton,0
Linda Bradley,0
Dr. Justin George,0
Ms. Jemma Roberts,0
Miss Mandy Richardson,0
Mary Harrison,1
Toby Nicholson,0
Marion Walsh,0
Andrea Bartlett-Wood,0
Beth Bell,1
Leonard King,0
Mr. Nathan Russell,1
Dale Lowe,0
Mary Harrison,1
Maureen Sullivan,1
Maureen Sullivan,1
Chloe Chapman,1
Aaron Sheppard-Martin,1
Louis King,0
Raymond Parker,1
Shirley Hanson-Harrison,0
Bernard Brown,0
Carole Pickering,0
Mr. Allan Andrews,0
Liam Hall,1
Maureen Sullivan,0
Frank Howard,1
Marion Cook,0
Carole Pickering,0
Sophie Douglas,0
Mrs. Julie Forster,0
Toby Coleman,0
Lynn Read,0
Mr. Jeffrey Baxter,0
Naomi Hughes,1
Benjamin Norton,0
Lisa Cameron,0
Callum Smith,1
Dr. Charles Watts,1
Bryan Evans,0
Dale Lowe,0
Paige Lloyd,0
Joshua Jones,0
Maria Warren,0
Miss Charlotte Clark,1
Miss Charlotte Clark,0
Christian Ross,0
Jenna Hamilton,0
Mr. Arthur Thompson,0
Dr. Antony Clark,0
Natalie King,0
Justin Morris-Collins,0
Brandon Gibson,1
June Green,0
Mr. Joshua Bell,0
Gerald Carter,0
Amy Dean,0
Eileen Smith,0
Holly Price-Hunt,0
Kelly Donnelly,0
Miss Heather Taylor,0
Leah Oliver,0
Brett Young-Marshall,1
Amanda Stone,1
Amanda Stone,0
Dr. Ruth Kaur,0
Dr. Bethany Stephens,0
Mr. David Kemp,1
Dr. Naomi Hunt,0
Jay Rose-Berry,1
Stewart Robinson,0
Mr. Henry Graham,1
Mr. Bernard Hutchinson,0
Catherine Taylor,1
Elaine Kaur,0
Naomi Hughes,1
Lauren Lowe,0
Steven Kennedy-Jones,1
Jennifer Little-Allan,0
Steven Kennedy-Jones,0
Mr. Bernard Hutchinson,1
Terence Kirby,1
Helen Griffin,0
Dr. Justin Robertson,0
Naomi Bates-Thomas,0
Francesca Hooper,0
Jodie Glover,0
Dr. Frederick Cooper,1
Jennifer Little-Allan,0
Dr. Lynne Taylor,0
Antony Mitchell,0
Dr. Liam Ali,0
Ms. Debra Leach,0
Mr. Bernard Hutchinson,0
Ellie Payne,0
Ashleigh Thompson,1
Ms. Debra Leach,0
Jodie Glover,0
Brenda Allen,0
Dr. Sarah Turner,0
Dr. Nicholas Holland,1
Dr. Frederick Cooper,1
Dr. Russell Burke,0
Dr. Adrian Gilbert,1
Dr. Adrian Gilbert,0
Brett Young-Marshall,1
Dr. Kathryn McDonald,0
Dr. Marian Horton,0
Ms. Emma Watts,0
Mandy Edwards,0
Leanne Stewart,0
Dr. Nigel Peters,0
Mr. Iain Sykes,0
Jane Morgan,1
Lesley Jones,0
Adam Hill,1
Carole Phillips,0
Dr. Heather Buckley,0
Julia Charlton,1
Mrs. Jessica Bird,0
Julia Charlton,1
Ms. Laura Jones,0
Barry Hall-Mitchell,0
Katy Jones,1
Vanessa Clarke-Lees,0
Charles Harvey,0
Amy Barry-White,1
Matthew Kaur,1
Valerie Kelly,0
Antony Osborne,0
Dr. Heather Buckley,0
Ronald Moore,0
Kelly Smart-Pope,0
Nathan Jones,0
Michelle Bailey,1
Dr. Stephen Owen,0
Emily Bates,0
Miss Jasmine Hall,0
Laura Barlow,1
Allan Gardner,1
Paula Bennett,0
Arthur Thompson,0
Frank Matthews-Adams,1
Samantha Field,1
Gareth Hussain,0
Dr. Louise Hancock,1
Brenda Jones,1
Marion Cook,0
Abdul Middleton,0
